Symbol,Date,Close
NVDA,11/15/13,16.17
NVDA,11/18/13,15.78
NVDA,11/19/13,15.44
NVDA,11/20/13,15.21
NVDA,11/21/13,15.33
NVDA,11/22/13,15.18
NVDA,11/25/13,15.51
NVDA,11/26/13,15.64
NVDA,11/27/13,15.7
NVDA,11/29/13,15.6
NVDA,12/2/13,15.75
NVDA,12/3/13,15.74
NVDA,12/4/13,15.96
NVDA,12/5/13,15.7
NVDA,12/6/13,15.47
NVDA,12/9/13,15.21
NVDA,12/10/13,15.56
NVDA,12/11/13,15.41
NVDA,12/12/13,15.11
NVDA,12/13/13,15.02
NVDA,12/16/13,15.04
NVDA,12/17/13,15.11
NVDA,12/18/13,15.32
NVDA,12/19/13,15.38
NVDA,12/20/13,15.69
NVDA,12/23/13,15.78
NVDA,12/24/13,15.82
NVDA,12/26/13,15.67
NVDA,12/27/13,15.76
NVDA,12/30/13,15.97
NVDA,12/31/13,16.02
NVDA,1/2/14,15.86
NVDA,1/3/14,15.67
NVDA,1/6/14,15.88
NVDA,1/7/14,16.139999
NVDA,1/8/14,16.360001
NVDA,1/9/14,15.75
NVDA,1/10/14,15.73
NVDA,1/13/14,15.36
NVDA,1/14/14,15.84
NVDA,1/15/14,16.01
NVDA,1/16/14,16.059999
NVDA,1/17/14,15.99
NVDA,1/21/14,16.049999
NVDA,1/22/14,16.030001
NVDA,1/23/14,15.97
NVDA,1/24/14,15.56
NVDA,1/27/14,15.46
NVDA,1/28/14,15.61
NVDA,1/29/14,15.46
NVDA,1/30/14,15.72
NVDA,1/31/14,15.7
NVDA,2/3/14,15.49
NVDA,2/4/14,15.58
NVDA,2/5/14,15.44
NVDA,2/6/14,15.64
NVDA,2/7/14,15.87
NVDA,2/10/14,15.92
NVDA,2/11/14,16.25
NVDA,2/12/14,16.83
NVDA,2/13/14,17.360001
NVDA,2/14/14,17.91
NVDA,2/18/14,17.9
NVDA,2/19/14,18.139999
NVDA,2/20/14,18.780001
NVDA,2/21/14,18.639999
NVDA,2/24/14,18.91
NVDA,2/25/14,18.74
NVDA,2/26/14,18.709999
NVDA,2/27/14,18.5
NVDA,2/28/14,18.379999
NVDA,3/3/14,18.290001
NVDA,3/4/14,18.48
NVDA,3/5/14,18.639999
NVDA,3/6/14,18.379999
NVDA,3/7/14,18.360001
NVDA,3/10/14,18.09
NVDA,3/11/14,18.27
NVDA,3/12/14,18.32
NVDA,3/13/14,17.74
NVDA,3/14/14,17.82
NVDA,3/17/14,17.82
NVDA,3/18/14,18.24
NVDA,3/19/14,18.559999
NVDA,3/20/14,18.57
NVDA,3/21/14,18.540001
NVDA,3/24/14,18.450001
NVDA,3/25/14,18.450001
NVDA,3/26/14,18.030001
NVDA,3/27/14,17.790001
NVDA,3/28/14,17.9
NVDA,3/31/14,17.91
NVDA,4/1/14,18.65
NVDA,4/2/14,18.530001
NVDA,4/3/14,18.73
NVDA,4/4/14,18.15
NVDA,4/7/14,18.209999
NVDA,4/8/14,18.860001
NVDA,4/9/14,18.84
NVDA,4/10/14,18.379999
NVDA,4/11/14,18.120001
NVDA,4/14/14,18.32
NVDA,4/15/14,18.450001
NVDA,4/16/14,18.49
NVDA,4/17/14,18.559999
NVDA,4/21/14,18.709999
NVDA,4/22/14,18.870001
NVDA,4/23/14,19.09
NVDA,4/24/14,19.26
NVDA,4/25/14,18.73
NVDA,4/28/14,18.65
NVDA,4/29/14,18.690001
NVDA,4/30/14,18.469999
NVDA,5/1/14,18.57
NVDA,5/2/14,18.43
NVDA,5/5/14,18.629999
NVDA,5/6/14,18.25
NVDA,5/7/14,18.27
NVDA,5/8/14,18.5
NVDA,5/9/14,18.049999
NVDA,5/12/14,18.58
NVDA,5/13/14,18.280001
NVDA,5/14/14,18.1
NVDA,5/15/14,18
NVDA,5/16/14,17.959999
NVDA,5/19/14,18.540001
NVDA,5/20/14,18.24
NVDA,5/21/14,18.24
NVDA,5/22/14,18.32
NVDA,5/23/14,18.49
NVDA,5/27/14,18.82
NVDA,5/28/14,18.98
NVDA,5/29/14,18.950001
NVDA,5/30/14,19
NVDA,6/2/14,18.940001
NVDA,6/3/14,18.860001
NVDA,6/4/14,18.879999
NVDA,6/5/14,18.959999
NVDA,6/6/14,19.030001
NVDA,6/9/14,19.049999
NVDA,6/10/14,19.15
NVDA,6/11/14,19.4
